,SGD Regressor,Lasso Regression,Lars Regression,Gaussian Regression
2007-02-28,10.158268733850107,10.158268733850107,10.158268733850107,10.158268733850107
2007-03-31,10.86326300531486,10.86326300531486,10.86326300531486,10.86326300531486
2007-04-30,10.719961856325511,10.719961856325511,10.719961856325511,10.719961856325511
2007-05-31,9.227769110764438,9.227769110764438,9.227769110764438,9.227769110764438
2007-06-30,8.59830521651248,8.59830521651248,8.59830521651248,8.59830521651248
2007-07-31,6.899475794017884,6.899475794017884,6.899475794017884,6.899475794017884
2007-08-31,7.394502516453727,7.394502516453727,7.394502516453727,7.394502516453727
2007-09-30,7.124837550645968,7.124837550645968,7.124837550645968,7.124837550645968
2007-10-31,7.699856571299146,7.699856571299146,7.699856571299146,7.699856571299146
2007-11-30,8.399165300342815,8.399165300342815,8.399165300342815,8.399165300342815
2007-12-31,8.387240687039931,8.387240687039931,8.387240687039931,8.387240687039931
2008-01-31,8.171378091872782,8.171378091872782,8.171378091872782,8.171378091872782
2008-02-29,9.104236915408315,9.104236915408315,9.104236915408315,9.104236915408315
2008-03-31,9.152320767051659,9.152320767051659,9.152320767051659,9.152320767051659
2008-04-30,9.660518194215161,9.660518194215161,9.660518194215161,9.660518194215161
2008-05-31,10.740555595229594,10.740555595229594,10.740555595229594,10.740555595229594
2008-06-30,10.609206099219692,10.609206099219692,10.609206099219692,10.609206099219692
2008-07-31,12.064613831398297,12.064613831398297,12.064613831398297,12.064613831398297
2008-08-31,11.766402307137724,11.766402307137724,11.766402307137724,11.766402307137724
2008-09-30,11.125383572397052,11.125383572397052,11.125383572397052,11.125383572397052
2008-10-31,11.985701268661963,11.985701268661963,11.985701268661963,11.985701268661963
2008-11-30,10.759711240976277,10.759711240976277,10.759711240976277,10.759711240976277
2008-12-31,10.063799135624606,10.063799135624606,10.063799135624606,10.063799135624606
2009-01-31,9.500476384919022,9.500476384919022,9.500476384919022,9.500476384919022
2009-02-28,7.7331362536952275,7.7331362536952275,7.7331362536952275,7.7331362536952275
2009-03-31,7.885805550009972,7.885805550009972,7.885805550009972,7.885805550009972
2009-04-30,6.126055370115857,6.126055370115857,6.126055370115857,6.126055370115857
2009-05-31,5.236344876507393,5.236344876507393,5.236344876507393,5.236344876507393
2009-06-30,5.734256682415384,5.734256682415384,5.734256682415384,5.734256682415384
2009-07-31,5.392535392535391,5.392535392535391,5.392535392535391,5.392535392535391
2009-08-31,5.334795510256729,5.334795510256729,5.334795510256729,5.334795510256729
2009-09-30,5.272283585923465,5.272283585923465,5.272283585923465,5.272283585923465
2009-10-31,5.076046817299851,5.076046817299851,5.076046817299851,5.076046817299851
2009-11-30,5.530726256983232,5.530726256983232,5.530726256983232,5.530726256983232
2009-12-31,6.525804038893046,6.525804038893046,6.525804038893046,6.525804038893046
2010-01-31,8.18520820385331,8.18520820385331,8.18520820385331,8.18520820385331
2010-02-28,10.127845338322427,10.127845338322427,10.127845338322427,10.127845338322427
2010-03-31,9.560819146311372,9.560819146311372,9.560819146311372,9.560819146311372
2010-04-30,10.194264569842737,10.194264569842737,10.194264569842737,10.194264569842737
2010-05-31,9.099822293032656,9.099822293032656,9.099822293032656,9.099822293032656
2010-06-30,8.367509334639145,8.367509334639145,8.367509334639145,8.367509334639145
2010-07-31,7.577237757968014,7.577237757968014,7.577237757968014,7.577237757968014
2010-08-31,8.334864351766802,8.334864351766802,8.334864351766802,8.334864351766802
2010-09-30,9.235649362532783,9.235649362532783,9.235649362532783,9.235649362532783
2010-10-31,8.619251846557074,8.619251846557074,8.619251846557074,8.619251846557074
2010-11-30,7.28780659961179,7.28780659961179,7.28780659961179,7.28780659961179
2010-12-31,6.401029781756473,6.401029781756473,6.401029781756473,6.401029781756473
2011-01-31,4.900327454472331,4.900327454472331,4.900327454472331,4.900327454472331
2011-02-28,4.156520754289605,4.156520754289605,4.156520754289605,4.156520754289605
2011-03-31,3.986037608377435,3.986037608377435,3.986037608377435,3.986037608377435
2011-04-30,4.264607118871733,4.264607118871733,4.264607118871733,4.264607118871733
2011-05-31,7.1725454953943,7.1725454953943,7.1725454953943,7.1725454953943
2011-06-30,6.2358788974243184,6.2358788974243184,6.2358788974243184,6.2358788974243184
2011-07-31,6.311368409103801,6.311368409103801,6.311368409103801,6.311368409103801
2011-08-31,6.653476540418302,6.653476540418302,6.653476540418302,6.653476540418302
2011-09-30,6.154017981794824,6.154017981794824,6.154017981794824,6.154017981794824
2011-10-31,7.655607348505633,7.655607348505633,7.655607348505633,7.655607348505633
2011-11-30,9.484649122807,9.484649122807,9.484649122807,9.484649122807
2011-12-31,10.448171569975262,10.448171569975262,10.448171569975262,10.448171569975262
2012-01-31,10.61336254107339,10.61336254107339,10.61336254107339,10.61336254107339
2012-02-29,10.433317022780408,10.433317022780408,10.433317022780408,10.433317022780408
2012-03-31,10.427720628045488,10.427720628045488,10.427720628045488,10.427720628045488
2012-04-30,11.13794954374665,11.13794954374665,11.13794954374665,11.13794954374665
2012-05-31,8.280488444001888,8.280488444001888,8.280488444001888,8.280488444001888
2012-06-30,8.868566567418101,8.868566567418101,8.868566567418101,8.868566567418101
2012-07-31,9.06518605520259,9.06518605520259,9.06518605520259,9.06518605520259
2012-08-31,8.883235278528655,8.883235278528655,8.883235278528655,8.883235278528655
2012-09-30,9.185122836551107,9.185122836551107,9.185122836551107,9.185122836551107
2012-10-31,7.798889511486928,7.798889511486928,7.798889511486928,7.798889511486928
2012-11-30,6.36955433149724,6.36955433149724,6.36955433149724,6.36955433149724
2012-12-31,6.163803833706738,6.163803833706738,6.163803833706738,6.163803833706738
2013-01-31,7.3076542231904185,7.3076542231904185,7.3076542231904185,7.3076542231904185
2013-02-28,7.025403702244959,7.025403702244959,7.025403702244959,7.025403702244959
2013-03-31,7.290645224553827,7.290645224553827,7.290645224553827,7.290645224553827
2013-04-30,6.133784110118312,6.133784110118312,6.133784110118312,6.133784110118312
2013-05-31,6.51468951164027,6.51468951164027,6.51468951164027,6.51468951164027
2013-06-30,8.297519046688805,8.297519046688805,8.297519046688805,8.297519046688805
2013-07-31,8.884428997993044,8.884428997993044,8.884428997993044,8.884428997993044
2013-08-31,8.16823248795211,8.16823248795211,8.16823248795211,8.16823248795211
2013-09-30,7.882437966754985,7.882437966754985,7.882437966754985,7.882437966754985
2013-10-31,7.711936489934779,7.711936489934779,7.711936489934779,7.711936489934779
2013-11-30,7.315695320591287,7.315695320591287,7.315695320591287,7.315695320591287
2013-12-31,7.400459597617592,7.400459597617592,7.400459597617592,7.400459597617592
2014-01-31,7.751222663098645,7.751222663098645,7.751222663098645,7.751222663098645
2014-02-28,7.889047334284016,7.889047334284016,7.889047334284016,7.889047334284016
2014-03-31,8.385504729698855,8.385504729698855,8.385504729698855,8.385504729698855
2014-04-30,9.38339021615473,9.38339021615473,9.38339021615473,9.38339021615473
2014-05-31,9.6560185395556,9.6560185395556,9.6560185395556,9.6560185395556
2014-06-30,9.163472378804949,9.163472378804949,9.163472378804949,9.163472378804949
2014-07-31,9.31936702032008,9.31936702032008,9.31936702032008,9.31936702032008
2014-08-31,9.536024481346473,9.536024481346473,9.536024481346473,9.536024481346473
2014-09-30,8.856236880889657,8.856236880889657,8.856236880889657,8.856236880889657
2014-10-31,8.96288496972888,8.96288496972888,8.96288496972888,8.96288496972888
2014-11-30,9.150728197929459,9.150728197929459,9.150728197929459,9.150728197929459
2014-12-31,8.169948910527935,8.169948910527935,8.169948910527935,8.169948910527935
